landsat_id,landsat_date,landsat_cloud_pct,s2_id,s2_date,s2_cloud_pct,delta_days,abs_delta_days
1_LC08_192023_20200603,2020-06-03,1.72,20200602T100559_20200602T101204_T32UQD,2020-06-02,0.361835,1,1
1_LC08_192023_20200705,2020-07-05,83.48,20200705T101559_20200705T101917_T32UQD,2020-07-05,85.503639,0,0
1_LC08_192023_20200721,2020-07-21,42.75,20200720T102031_20200720T102321_T32UQD,2020-07-20,72.220949,1,1
1_LC08_192023_20200806,2020-08-06,0.03,20200806T101031_20200806T101511_T32UQD,2020-08-06,3.226877,0,0
1_LC08_192023_20200822,2020-08-22,38.12,20200821T100559_20200821T101228_T32UQD,2020-08-21,20.07112,1,1
1_LC08_192023_20200907,2020-09-07,68.23,20200908T102031_20200908T102027_T32UQD,2020-09-08,92.213066,-1,1
1_LC08_192023_20200923,2020-09-23,10.94,20200923T101649_20200923T102104_T32UQD,2020-09-23,33.680777,0,0
1_LC08_192023_20201009,2020-10-09,54.36,20201008T102031_20201008T102029_T32UQD,2020-10-08,93.926226,1,1
1_LC08_192023_20201025,2020-10-25,35.01,20201025T101121_20201025T101419_T32UQD,2020-10-25,67.909981,0,0
1_LC08_192023_20210129,2021-01-29,69.39,20210128T101159_20210128T101158_T32UQD,2021-01-28,99.605966,1,1
1_LC08_192023_20210214,2021-02-14,75.08,20210215T102121_20210215T102423_T32UQD,2021-02-15,99.999999,-1,1
1_LC08_192023_20210302,2021-03-02,52.16,20210302T101839_20210302T101835_T32UQD,2021-03-02,77.202925,0,0
1_LC08_192023_20210403,2021-04-03,76.92,20210403T101021_20210403T101412_T32UQD,2021-04-03,68.717365,0,0
1_LC08_192023_20210419,2021-04-19,18.08,20210418T100549_20210418T101215_T32UQD,2021-04-18,96.029757,1,1
1_LC08_192023_20210505,2021-05-05,64.23,20210506T102021_20210506T102022_T32UQD,2021-05-06,68.390431,-1,1
1_LC08_192023_20210521,2021-05-21,51.0,20210521T101559_20210521T101655_T32UQD,2021-05-21,42.947248,0,0
1_LC08_192023_20210606,2021-06-06,36.41,20210605T102021_20210605T102024_T32UQD,2021-06-05,17.208704,1,1
1_LC08_192023_20210622,2021-06-22,96.11,20210622T101031_20210622T101416_T32UQD,2021-06-22,86.581954,0,0
1_LC08_192023_20210708,2021-07-08,79.09,20210707T100559_20210707T101548_T32UQD,2021-07-07,99.658158,1,1
1_LC08_192023_20210724,2021-07-24,13.32,20210725T102031_20210725T102548_T32UQD,2021-07-25,71.036769,-1,1
1_LC08_192023_20210809,2021-08-09,84.99,20210809T101559_20210809T102307_T32UQD,2021-08-09,76.064764,0,0
1_LC08_192023_20210825,2021-08-25,85.21,20210824T102031_20210824T102025_T32UQD,2021-08-24,52.457178,1,1
1_LC08_192023_20210910,2021-09-10,5.14,20210910T101031_20210910T101503_T32UQD,2021-09-10,5.82225,0,0
1_LC08_192023_20210926,2021-09-26,44.63,20210925T101019_20210925T101413_T32UQD,2021-09-25,99.450809,1,1
1_LC08_192023_20211012,2021-10-12,71.83,20211013T101951_20211013T102427_T32UQD,2021-10-13,7.571724,-1,1
1_LC08_192023_20211028,2021-10-28,5.94,20211028T102039_20211028T102038_T32UQD,2021-10-28,1.757545,0,0
1_LC08_192023_20211113,2021-11-13,97.93,20211112T102251_20211112T102423_T32UQD,2021-11-12,98.158443,1,1
1_LC08_192023_20220116,2022-01-16,100.0,20220116T102249_20220116T102251_T32UQD,2022-01-16,99.999997,0,0
1_LC08_192023_20220305,2022-03-05,49.12,20220304T101019_20220304T101238_T32UQD,2022-03-04,93.814558,1,1
1_LC08_192023_20220321,2022-03-21,0.02,20220322T101711_20220322T102531_T32UQD,2022-03-22,6.610709,-1,1
1_LC08_192023_20220422,2022-04-22,91.12,20220421T101601_20220421T102238_T32UQD,2022-04-21,100.0,1,1
1_LC08_192023_20220508,2022-05-08,13.95,20220508T100601_20220508T101446_T32UQD,2022-05-08,12.855332,0,0
1_LC08_192023_20220524,2022-05-24,96.21,20220523T100559_20220523T100554_T32UQD,2022-05-23,99.28391,1,1
1_LC08_192023_20220609,2022-06-09,88.23,20220610T101611_20220610T101606_T32UQD,2022-06-10,8.202177,-1,1
1_LC08_192023_20220625,2022-06-25,38.58,20220625T101559_20220625T102253_T32UQD,2022-06-25,91.966057,0,0
1_LC08_192023_20220711,2022-07-11,60.19,20220710T101611_20220710T101820_T32UQD,2022-07-10,91.119623,1,1
1_LC08_192023_20220727,2022-07-27,87.05,20220727T100601_20220727T100930_T32UQD,2022-07-27,96.110612,0,0
1_LC08_192023_20220812,2022-08-12,7.27,20220811T100559_20220811T101510_T32UQD,2022-08-11,20.373961,1,1
1_LC08_192023_20220828,2022-08-28,89.67,20220829T101611_20220829T101634_T32UQD,2022-08-29,96.908665,-1,1
1_LC08_192023_20220929,2022-09-29,66.52,20220928T101811_20220928T102205_T32UQD,2022-09-28,97.404706,1,1
1_LC08_192023_20221031,2022-10-31,64.91,20221030T101039_20221030T101041_T32UQD,2022-10-30,3.258054,1,1
1_LC08_192023_20230119,2023-01-19,20.81,20230118T101239_20230118T101242_T32UQD,2023-01-18,99.216908,1,1
1_LC08_192023_20230204,2023-02-04,57.35,20230205T102221_20230205T102218_T32UQD,2023-02-05,100.0,-1,1
1_LC08_192023_20230220,2023-02-20,100.0,20230220T101949_20230220T101948_T32UQD,2023-02-20,99.999976,0,0
1_LC08_192023_20230409,2023-04-09,93.56,20230408T100559_20230408T101408_T32UQD,2023-04-08,99.672675,1,1
1_LC08_192023_20230511,2023-05-11,19.03,20230511T101559_20230511T102145_T32UQD,2023-05-11,63.663876,0,0
1_LC08_192023_20230527,2023-05-27,7.56,20230526T101601_20230526T101739_T32UQD,2023-05-26,1.061685,1,1
1_LC08_192023_20230612,2023-06-12,26.29,20230612T100601_20230612T100735_T32UQD,2023-06-12,19.582206,0,0
1_LC08_192023_20230714,2023-07-14,27.74,20230715T101601_20230715T101733_T32UQD,2023-07-15,32.87738,-1,1
1_LC08_192023_20230730,2023-07-30,46.54,20230730T101609_20230730T102200_T32UQD,2023-07-30,79.19504,0,0
1_LC08_192023_20230815,2023-08-15,3.79,20230814T102031_20230814T102027_T32UQD,2023-08-14,61.207175,1,1
1_LC08_192023_20230831,2023-08-31,87.55,20230831T100601_20230831T101438_T32UQD,2023-08-31,71.636689,0,0
1_LC08_192023_20230916,2023-09-16,14.89,20230915T100639_20230915T100745_T32UQD,2023-09-15,3.416175,1,1
1_LC08_192023_20231002,2023-10-02,94.37,20231003T101841_20231003T102549_T32UQD,2023-10-03,99.190003,-1,1
1_LC08_192023_20231018,2023-10-18,39.53,20231018T101939_20231018T101934_T32UQD,2023-10-18,55.470246,0,0
1_LC08_192023_20231103,2023-11-03,100.0,20231102T102201_20231102T102155_T32UQD,2023-11-02,97.09096,1,1
1_LC08_192023_20240223,2024-02-23,77.87,20240222T100939_20240222T100934_T32UQD,2024-02-22,99.306577,1,1
1_LC08_192023_20240310,2024-03-10,64.61,20240311T101831_20240311T102207_T32UQD,2024-03-11,99.529982,-1,1
1_LC08_192023_20240326,2024-03-26,14.91,20240326T101639_20240326T102439_T32UQD,2024-03-26,52.048331,0,0
1_LC08_192023_20240411,2024-04-11,73.96,20240410T101601_20240410T101659_T32UQD,2024-04-10,97.346151,1,1
1_LC08_192023_20240427,2024-04-27,22.45,20240427T100601_20240427T100846_T32UQD,2024-04-27,7.346477,0,0
